Energy(eV) DOS(1/eV/m^3) DOS_Norm(CodeUnits)
0.549 6.63702e+26 0.086827
0.55 6.64306e+26 0.0869061
0.551 6.6491e+26 0.086985
0.552 6.65513e+26 0.0870639
0.553 6.66115e+26 0.0871428
0.554 6.66717e+26 0.0872215
0.555 6.67319e+26 0.0873002
0.556 6.6792e+26 0.0873788
0.557 6.6852e+26 0.0874574
0.558 6.6912e+26 0.0875358
0.559 6.69719e+26 0.0876142
0.56 6.70318e+26 0.0876926
0.561 6.70916e+26 0.0877708
0.562 6.71514e+26 0.087849
0.563 6.72111e+26 0.0879271
0.564 6.72708e+26 0.0880052
0.565 6.73304e+26 0.0880832
0.566 6.739e+26 0.0881611
0.567 6.74495e+26 0.0882389
0.568 6.75089e+26 0.0883167
0.569 6.75683e+26 0.0883944
0.57 6.76277e+26 0.0884721
0.571 6.7687e+26 0.0885496
0.572 6.77462e+26 0.0886271
0.573 6.78054e+26 0.0887046
0.574 6.78645e+26 0.0887819
0.575 6.79236e+26 0.0888593
0.576 6.79827e+26 0.0889365
0.577 6.80417e+26 0.0890137
0.578 6.81006e+26 0.0890908
0.579 6.81595e+26 0.0891678
0.58 6.82183e+26 0.0892448
0.581 6.82771e+26 0.0893217
0.582 6.83358e+26 0.0893985
0.583 6.83945e+26 0.0894753
0.584 6.84531e+26 0.089552
0.585 6.85117e+26 0.0896286
0.586 6.85703e+26 0.0897052
0.587 6.86287e+26 0.0897817
0.588 6.86872e+26 0.0898581
0.589 6.87456e+26 0.0899345
0.59 6.88039e+26 0.0900108
0.591 6.88622e+26 0.0900871
0.592 6.89204e+26 0.0901633
0.593 6.89786e+26 0.0902394
0.594 6.90367e+26 0.0903154
0.595 6.90948e+26 0.0903914
0.596 6.91529e+26 0.0904673
0.597 6.92108e+26 0.0905432
0.598 6.92688e+26 0.090619
0.599 6.93267e+26 0.0906947
0.6 6.93845e+26 0.0907704
0.601 6.94423e+26 0.090846
0.602 6.95001e+26 0.0909216
0.603 6.95578e+26 0.0909971
0.604 6.96154e+26 0.0910725
0.605 6.9673e+26 0.0911478
0.606 6.97306e+26 0.0912231
0.607 6.97881e+26 0.0912984
0.608 6.98456e+26 0.0913736
0.609 6.9903e+26 0.0914487
0.61 6.99603e+26 0.0915237
0.611 7.00177e+26 0.0915987
0.612 7.00749e+26 0.0916736
0.613 7.01322e+26 0.0917485
0.614 7.01893e+26 0.0918233
0.615 7.02465e+26 0.091898
0.616 7.03036e+26 0.0919727
0.617 7.03606e+26 0.0920474
0.618 7.04176e+26 0.0921219
0.619 7.04745e+26 0.0921964
0.62 7.05315e+26 0.0922709
0.621 7.05883e+26 0.0923452
0.622 7.06451e+26 0.0924196
0.623 7.07019e+26 0.0924938
0.624 7.07586e+26 0.092568
0.625 7.08153e+26 0.0926422
0.626 7.08719e+26 0.0927163
0.627 7.09285e+26 0.0927903
0.628 7.0985e+26 0.0928642
0.629 7.10415e+26 0.0929382
0.63 7.1098e+26 0.093012
0.631 7.11544e+26 0.0930858
0.632 7.12107e+26 0.0931595
0.633 7.12671e+26 0.0932332
0.634 7.13233e+26 0.0933068
0.635 7.13796e+26 0.0933804
0.636 7.14357e+26 0.0934539
0.637 7.14919e+26 0.0935273
0.638 7.1548e+26 0.0936007
0.639 7.1604e+26 0.093674
0.64 7.166e+26 0.0937473
0.641 7.1716e+26 0.0938205
0.642 7.17719e+26 0.0938937
0.643 7.18278e+26 0.0939668
0.644 7.18836e+26 0.0940398
0.645 7.19394e+26 0.0941128
0.646 7.19951e+26 0.0941857
0.647 7.20508e+26 0.0942586
0.648 7.21065e+26 0.0943314
0.649 7.21621e+26 0.0944041
0.65 7.22177e+26 0.0944769
0.651 7.22732e+26 0.0945495
0.652 7.23287e+26 0.0946221
0.653 7.23842e+26 0.0946946
0.654 7.24396e+26 0.0947671
0.655 7.24949e+26 0.0948395
0.656 7.25502e+26 0.0949119
0.657 7.26055e+26 0.0949842
0.658 7.26608e+26 0.0950565
0.659 7.27159e+26 0.0951287
0.66 7.27711e+26 0.0952008
0.661 7.28262e+26 0.0952729
0.662 7.28813e+26 0.095345
0.663 7.29363e+26 0.0954169
0.664 7.29913e+26 0.0954889
0.665 7.30462e+26 0.0955608
0.666 7.31011e+26 0.0956326
0.667 7.3156e+26 0.0957043
0.668 7.32108e+26 0.0957761
0.669 7.32656e+26 0.0958477
0.67 7.33203e+26 0.0959193
0.671 7.3375e+26 0.0959909
0.672 7.34297e+26 0.0960624
0.673 7.34843e+26 0.0961338
0.674 7.35389e+26 0.0962052
0.675 7.35934e+26 0.0962766
0.676 7.36479e+26 0.0963479
0.677 7.37023e+26 0.0964191
0.678 7.37568e+26 0.0964903
